Date,nifty,ril,lt,tcs,inr/usd,,,
07-04-2022,-0.009484578,-0.017797416,-0.014406023,-0.019141631,0.006531248,,,
08-04-2022,0.008175251,0.016498366,0.002433624,0.000407065,-0.000420109,,,
11-04-2022,-0.006170496,-0.0020858,-0.027269988,0.002912406,5.40E-05,,,
12-04-2022,-0.008217482,-0.01900946,-0.019155107,-0.00143482,-0.001058282,,,
13-04-2022,-0.003122351,-0.003677246,0.007467762,-0.007928731,0.004116221,,,
18-04-2022,-0.017432251,-0.003061356,-0.012831901,-0.037250534,0.000296098,,,
19-04-2022,-0.012598204,0.037403163,-0.018931548,-0.016043301,-0.000670996,,,
20-04-2022,0.010435604,0.028979917,-0.008330098,0.024159315,0.002163349,,,
21-04-2022,0.014831151,0.023144273,0.013446735,0.019999419,-0.002215759,,,
22-04-2022,-0.012767613,-0.008410289,-0.01182231,-0.004446752,0.00011802,,,
25-04-2022,-0.012776394,-0.023397572,-0.022079232,-0.017973472,0.002334541,,,
26-04-2022,0.014455141,0.029486704,0.025378794,-0.000535644,0.000840578,,,
27-04-2022,-0.009486297,0.000972344,-0.013562464,0.004192743,0.003473694,,,
28-04-2022,0.012055548,0.014826359,0.0248519,0.006465783,-0.004200531,,,
29-04-2022,-0.00829757,-0.010552479,-0.014588999,-0.010545792,0.001526166,,,
02-05-2022,-0.001957832,-0.003518374,-0.00883288,-0.001213117,-0.000860743,,,
04-05-2022,-0.02320331,-0.031715735,-0.02746596,-0.017844089,-0.000742536,,,
05-05-2022,0.000302802,-0.019777275,0.002261981,0.009623855,-0.006108783,,,
06-05-2022,-0.016402205,-0.007697395,-0.009324983,-0.023266159,0.007082595,,,
09-05-2022,-0.006688501,-0.03983831,-0.003890545,0.003634954,0.005416262,,,
10-05-2022,-0.003798173,-0.017485171,-0.005086793,-0.00184491,0.005287685,,,
11-05-2022,-0.004502113,-0.01029665,-0.023374978,-0.007809367,-0.001217057,,,
12-05-2022,-0.022462148,-0.020583606,-0.02883679,-0.000982476,0.001900619,,,
13-05-2022,-0.001636562,0.011272417,0.005456343,0.001831974,0.000328011,,,
16-05-2022,0.003803986,0.00024727,0.005459179,-0.011219615,0.000548579,,,
17-05-2022,0.025981475,0.041144925,0.038899049,0.021909374,0.004109684,,,
18-05-2022,-0.001169245,0.003631001,-0.019896144,-0.000811684,-0.005580693,,,
19-05-2022,-0.026891071,-0.023316107,-0.015735241,-0.055701046,0.005768357,,,
20-05-2022,0.028481561,0.05667316,0.039364798,0.009473853,-0.005139152,,,
23-05-2022,-0.003168035,-0.006709598,0.020927319,0.008692581,0.005118563,,,
24-05-2022,-0.005538061,0.003427457,-0.010916003,-0.010212207,-0.003754166,,,
25-05-2022,-0.006180278,-0.001472982,-0.032211052,-0.030576018,-0.000619386,,,
26-05-2022,0.008967063,-0.009578623,-0.006498267,0.018547451,0.000238763,,,
27-05-2022,0.011210771,-0.004649192,0.022592916,0.01058849,0.001713482,,,
30-05-2022,0.018716945,0.034240644,0.037138341,0.034343476,0.000795741,,,
31-05-2022,-0.004623104,-0.012138067,-0.003830679,-0.00323468,-0.002204772,,,
01-06-2022,-0.003733367,0.00032273,-0.003936384,-0.002723221,0.00100699,,,
02-06-2022,0.006349802,0.033897828,-0.006605514,0.020005795,-0.000192034,,,
03-06-2022,-0.00263151,0.020059537,0.009060069,0.004997773,-0.002886225,,,
06-06-2022,-0.000889791,-0.004308559,-0.007198822,-0.002677838,0.004304321,,,
07-06-2022,-0.009288955,0.001877109,-0.031430165,-0.020093046,0.001630716,,,
08-06-2022,-0.003667678,-0.017719829,-0.003087583,0.012251085,-0.001934488,,,
09-06-2022,0.007422116,0.027053146,0.006635988,0.006719238,0.000691087,,,
10-06-2022,-0.016909868,-0.030657268,-0.006288917,-0.019803204,0.001213891,,,
13-06-2022,-0.026733938,-0.019099999,-0.034040772,-0.04265414,0.004601327,,,
14-06-2022,-0.002685211,-0.013154539,0.008190657,-0.002814884,-0.000217455,,,
15-06-2022,-0.002542574,-0.01217373,0.010112691,-0.00132465,-0.002242801,,,
16-06-2022,-0.021354848,-0.014080125,-0.021343069,-0.020258101,-0.001094349,,,
17-06-2022,-0.004377862,0.01165053,-0.024824482,-0.017044586,0.00099436,,,
20-06-2022,0.00369737,-0.018293723,-0.012256294,0.007579186,-0.00020901,,,
21-06-2022,0.018629722,0.016013327,0.019178838,0.031484209,-0.000351579,,,
22-06-2022,-0.014524233,-0.030849207,-0.01446793,0.003418723,0.002574567,,,
23-06-2022,0.009257465,-0.016356776,0.010460822,0.026288519,0.00074455,,,
24-06-2022,0.009124715,0.014139259,0.000367946,-0.004756131,-0.000648571,,,
27-06-2022,0.008423414,-0.002964326,0.027025587,0.006537659,0.001405339,,,
28-06-2022,0.001145777,0.013963492,0.010170749,0.001040249,0.002409862,,,
29-06-2022,-0.003229179,0.020537606,-0.002323048,-0.008367859,0.008025922,,,
30-06-2022,-0.001193794,0.005989467,0.00666424,-0.007136764,-0.002214277,,,
01-07-2022,-0.001788655,-0.074749857,0.008880707,0.014585099,0.000819672,,,
04-07-2022,0.005274255,0.002073693,0.006056061,-0.024443391,-0.000155763,,,
05-07-2022,-0.00154837,0.008067033,-0.010678238,-0.005812736,-0.00014187,,,
06-07-2022,0.011254618,-0.008833656,-0.005607067,0.013725566,0.005418589,,,
07-07-2022,0.008909683,-0.009896058,0.034702302,0.008276543,-0.004096923,,,
08-07-2022,0.005421326,0.001380817,0.046301311,-0.006836224,0.002245643,,,
11-07-2022,-0.000283606,0.013498822,-0.014595321,-0.047553739,0.001384958,,,
12-07-2022,-0.009772571,-0.001424219,-0.005577723,-0.009389496,0.001843728,,,
13-07-2022,-0.005723641,-0.017882899,-0.003938173,-0.015008092,-1.76E-05,,,
14-07-2022,-0.001755195,0.008209896,-0.00066806,-0.010614566,0.004157368,,,
15-07-2022,0.006912015,0.001937987,0.023237344,-0.001384844,0.000886751,,,
18-07-2022,0.014186202,0.008478322,0.025085603,0.022747422,-0.001977539,,,
